Id,Injured,Dead,Keywords,Causes,Consequences
537,11,0,"spark, tools & access equipment, injury",equipment,"explosion, people"
538,0,1,"entry into confined space, fatality, asphyxiation, storage tanks, human causes, management system inadequate",,people
539,2,0,"cleaning, gas / vapour release",,environmental
540,0,0,"human causes, spill, pollution, cleaning",,environmental
541,0,1,"fire - consequence, damage to equipment, reactors and reaction equipment, sodium borohydride, fatality",,"explosion, fire, people, plant"
542,1,0,"accidental mixing, injury",chemical,"explosion, people"
543,70,0,"fire - consequence, repair, injury",,"explosion, fire, people"
544,2,1,"burns, fatality, flow restriction, injury",equipment,"explosion, people"
545,50,2,"testing, plant shutdown, fatality, injury",,"explosion, people, plant"
546,0,0,"drains & sewers, maintenance inadequate, waste, pollution, design or procedure error",human,environmental
547,0,0,"mechanical equipment failure, damage to equipment, gas / vapour release, gas - flammable",,"environmental, plant"
548,1,4,"fire - consequence, refining, fatality, burns, injury",,"fire, people"
549,3,3,"fire - consequence, injury",,"explosion, fire, people"
550,0,0,"operation inadequate, reactors and reaction equipment, damage to equipment",,plant
551,1,1,"explosion / pressure release, design or procedure error, fatality, injury",,people
552,0, -,"river transport, cleaning, human causes",process,explosion
553,0,2,"leak, fire - consequence, fatality",,"fire, people"
554,0,0,"ecological damage, pollution, leak, waste, drains & sewers, control failure, spill",,environmental
555,1,0,"permit to work system inadequate, burns, isolation inadequate","human, management",people
556,0,0,"fire - consequence, start-up, polyethylene",,"explosion, fire, people"
557,0,1,fatality,,people
558,0,0,"fire - consequence, damage to equipment, metal - molten",equipment,"fire, plant"
559,1,2,"fatality, injury",,"explosion, people"
560,0,0,"fire - consequence, dust explosion",,"explosion, fire"
561,0,0,"mechanical equipment failure, spill",,environmental
562,2,2,"fatality, injury",,explosion
563,1,1,"fatality, entry into confined space, safety procedures inadequate, injury",human,
564,0,0,"cleaning procedure incorrect, permit to work system inadequate, contractor error","human, management",explosion
565,0,0,"fire - consequence, evacuation, gas / vapour release",equipment,"environmental, fire"
566,14,0,"explosion, tank failure, material of construction failure, unknown chemicals, injury",equipment,explosion
567,1,0,"preparation for maintenance, maintenance, furnace, design inadequate, injury",human,
568,0,0,"sampling, radioactive",,
569,0,0,"environmental, transportation",equipment,environmental
570,21,0,transportation,,explosion
571,1,0,"unloading, gas / vapour release, safety procedures inadequate, permit to work system inadequate, asphyxiation","human, management",environmental
572,0,0,"fire - consequence, inspection",,fire
573,0,0,"pollution, design or procedure error",,environmental
574,0,0,"explosion, fire - consequence, damage to equipment, permit to work system inadequate",management,"explosion, fire, plant"
575,0,0,"reactors and reaction equipment, maintenance, tube, heat exchanger, reactor tube, design or procedure error, blowout, permit to work system inadequate, entry into confined space",management,plant
576,2,16,"explosion, testing, air transport",,explosion
577,0,18,"fire - consequence, fatality",equipment,fire
578,0,0,"fire - consequence, design or procedure error",,fire
579,5,0,"fire - consequence, design or procedure error, transportation, injury",,fire
580,0,4,"damage to equipment, fatality",,"explosion, plant"
581,0,4,"hot surface, fatality",external,explosion
582,1,0,"drums, explosion, unwanted chemical reaction, injury",,explosion
583,0,0,fire - consequence,,fire
584,0,0,"drains & sewers, backflow",process,environmental
585,0,0,"fire - consequence, human causes",,"explosion, fire"
586,0,0,explosion,,explosion
587,20,4,"marine transport, hot surface, fatality",external,explosion
588,0,0,"reactors and reaction equipment, leak, bursting disc",,plant
589,1,0,"safety procedures inadequate, reactors and reaction equipment, injury",human,
590,0,0,"cleaning, unwanted chemical reaction, gas / vapour release",,environmental
591,0,0,"fire - consequence, storage tanks, gas / vapour release",,"environmental, fire"
592,0,0,"transportation, pollution, material of construction failure",,"environmental, plant"
593,0,0,"low pressure, process causes, explosion, seal failure","chemical, equipment",explosion
594,1,0,"entry into confined space, reaction vessel, atmosphere not tested, asphyxiation, glycol",human,
595,0,0,"pressure raising/reducing equipment, damage to equipment",equipment,plant
596,1,0,"cleaning, reaction vessel, design inadequate, injury",human,
597,1,0,"level meter/control, asphyxiation, safety procedures inadequate",human,
598,2,0,"inspection, circuit breaker, arcing, operator error, injury","equipment, human",
599,1,0,"modification, transformer, circuit breaker, competency lacking, short circuit, testing inadequate, injury","equipment, human",
600,1,0,"overpressurisation, blowout, draining",process,plant
601,0,1,"fatality, silo/hopper",,
602,3,1,"decommissioning, explosion, fatality",,explosion
603,0,0,"flange failure, spill, near miss",equipment,"environmental, nearmiss"
604,1,0,"valve failure, people, testing",equipment,
605,0,0,"operation inadequate, sampling,",,environmental
606,0,0,"operator error, mixing, spill, decommissioning",human,environmental
607,0,0,"overpressurisation, operator error, spill, near miss, preparation for maintenance, operation inadequate","human, process","environmental, nearmiss"
608,0,0,Start-up,,plant
609,0,0,"pipeline failure, fire - consequence, damage to equipment, autoignition, processing","chemical, equipment","fire, plant"
610,0,0,"bursting disc failure, high pressure, spill",,environmental
611,7,0,gas / vapour release,,environmental
612,1,0,"permit to work system inadequate, injury",management,explosion
613,0,0,"spill, design or procedure error",,environmental
614,0,0,"radioactive, testing, design or procedure error, near miss, training inadequate",management,nearmiss
615,0,0,"mechanical equipment failure, standards inadequate, start-up",human,
616,0,1,fire - consequence,,"environmental, fire"
617,0,0,cracking,,explosion
618,40,2,"reactors and reaction equipment, fire - consequence",,"explosion, fire"
619,Injured :, Dead :,"mechanical equipment failure, gas / vapour release, competency lacking, cracking, pipe, drain","equipment, human",environmental
620,0,1,"welding, hot surface, fatality, maintenance",external,explosion
621,0,0,,,
622,0,0,"maintenance, fire - consequence, cracking",equipment,"fire, plant"
623,1,3,safety procedures inadequate,human,explosion
624,1,0,"scalding, low pressure, spill, refining, gauge glass failure, injury",equipment,plant
625,0,2,"catalytic reformer, residue",chemical,explosion
626,1,0,"rail transport, maintenance, human causes, fall, injury",,
627,0,0,"permit to work system inadequate, near miss",management,nearmiss
628,17,17,fire - consequence,,
629,1,0,"testing, injury",human,plant
630,0,1,"entry into confined space, asphyxiation, operator error",human,
631,4,3,,,
632,14,0,,,
633,3,2,,,
634,0,0,"fire - consequence, damage to equipment, cracking",,plant
635,5,1,fire - consequence,,
636,0,0,,,
637,0,3,entry into confined space,,
638,1,0,"fire - consequence, refining",utility,
639,0,0,fire - consequence,,
640,0,0,gas / vapour release,,
641,7,0,"fire - consequence, overpressurisation, installation inadequate, product loss","human, process",plant
642,4,2,"high pressure, fall, explosion / pressure release, entry into confined space, fatality, design or procedure error, injury",,
643,0,0,"reactors and reaction equipment, fire - consequence, separation equipment, cooling equipment",equipment,plant
644,0,0,"fire - consequence, plant shutdown",,plant
645,0,1,"separation equipment, design inadequate",human,plant
646,1,0,"inadequate guarding, safety procedures inadequate, permit to work system inadequate","human, management",
647,20,2,"inspection, fire - consequence, damage to equipment",,plant
648,0,0,"fire - consequence, power supply failure",utility,
649,0,0,"power supply failure, refining",utility,
650,0,0,"vapour cloud explosion, overpressurisation, refining",process,
651,2,0,"fire - consequence, burns, decommissioning, hot surface",external,
652,3,0,"hydrogen sulphide, gas / vapour release, pump failure, road tanker, draining, people",equipment,
653,0,0,"refining, cracking","equipment, process",plant
654,0,0,environmental,,
655,1,1,"explosion, human causes",,
656,3, -,"fire - consequence, training inadequate, vapour cloud explosion, injury",management,
657,0,0,"fire - consequence, damage to equipment, commissioning, solids processing equipment, hot surface",external,plant
658,0,0,"damage to equipment, product loss, reactors and reaction equipment, safety procedures inadequate",human,plant
659,0,0,"bursting disc failure, spill, overpressurisation",process,
660,0,0,"fire - consequence, start-up, damage to equipment",,plant
661,1,0,"cleaning, fire - consequence, refining, modification procedures inadequate, injury",management,plant
662,0,0,cooling equipment,,
663,0,0,"permit to work system inadequate, labelling incorrect","human, management",nearmiss
664,0,0,"tube failure, design or procedure error","equipment, process",plant
665,0,0,"repair, explosion / pressure release, near miss, piping & fittings, gas oil",,nearmiss
666,0,0,"incorrect equipment installed, installation inadequate","equipment, human",
667,0,0,"reactors and reaction equipment, evacuation, spill, near miss, mechanical equipment failure",,"nearmiss, plant"
668,3,1,fire - consequence,,
669,0,0,"modification, flange, blank, pipeline, plant / property / equipment, design or procedure error, near miss",,nearmiss
670,1,2,"inspection, explosion, fire - consequence",,
671,0,0,"solids processing equipment, flow restriction, cleaning, unwanted chemical reaction, overheating",process,
672,5,4,,,
673,0,0,"faulty instructions, cracking","human, process",plant
674,0,0,"design or procedure error, near miss, operation inadequate",,nearmiss
675,9,1,cracking,,
676,21,0,"flange leak, fire - consequence, start-up, inspection inadequate","human, process",
677,1,1,"fire - consequence, commissioning",,
678,0,3,"entry into confined space, asphyxiation, separation equipment",,
679,0,1,,,
680,0,0,"operation inadequate, gas / vapour release, start-up, design inadequate",human,
681,3,3,fire - consequence,,
682,0,0,fire - consequence,equipment,
683,0,0,"chemical causes, reactors and reaction equipment, damage to equipment, operation inadequate",,plant
684,0,0,"process control & instrumentation, design or procedure error",,nearmiss
685,0,0,"fire - consequence,  flange, nozzle, material of construction failure, leak, gas / vapour release, start-up",,
686,,,,"chemical, equipment, utility","explosion, fire, nearmiss"
687,1,0,"explosion, fire - consequence, damage to equipment",,plant
688,4,0,"lack of earthing, static, fire - consequence","equipment, process",
689,4,3,"asphyxiation, entry into confined space",,
690,6,5,"human causes, repair, marine transport",,
691,0,0,"maintenance inadequate, fire - consequence, management system inadequate","human, process",plant
692,26,0,"gas / vapour release, spill, management system inadequate",equipment,
693,0,0,,,
694,2,0,"fire - consequence, reactors and reaction equipment, leak, burns, maintenance, design or procedure error",,
695,32,0,fire - consequence,,
696,1,0,,,
697,9,0,"fire - consequence, design or procedure error",,
698,5,2,"fire - consequence, fatality, entry into confined space, hotwork, distillation, draining of line insufficient, isolation inadequate, management system inadequate, weather effects, asphyxiation, injury",human,
699,12,1,asphyxiation.,,
700,0,0,gas / vapour release,,
701,15,0,fire - consequence,equipment,
702,0,1,"entry into confined space, management system inadequate",,
703,0,0,"design or procedure error, damage to equipment, refining",,plant
704,1,0,"heating equipment, fire - consequence",,
705,4,0,fire - consequence,,
706,0,0,"fire - consequence, damage to equipment, mechanical equipment failure",chemical,plant
707,0,0,"maintenance inadequate, refining, gas / vapour release, fire - consequence","equipment, human",
708,1,0,"maintenance, electrical, design or procedure error",,
709,4,1,,,
710,0,0,"fire - consequence, lack of earthing","equipment, process",
711,0,0,gas / vapour release,,
712,3,0,"decomposition, cleaning",,
713,5,0,fire - consequence,,
714,30,8,"evacuation, fatality, fire - consequence, maintenance inadequate",human,
715,0,0,pollution,,
716,0,0,pollution,,
